Section,Sub-Category,Index,Numbering,Title,API_URL,Structure-type,Sub-Category_cn,Title_cn
Market Data & Statistics Monthly Bulletin,Financial statistics summary,0,1_1,1.1 Monetary statistics,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/financial/monetary-statistics,end_of_month,金融统计数字撮要,1.1 货币统计数字
Market Data & Statistics Monthly Bulletin,Financial statistics summary,1,1_2,1.2 Banking statistics,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/financial/banking-statistics,end_of_month,金融统计数字撮要,1.2 银行体系统计数字
Market Data & Statistics Monthly Bulletin,Financial statistics summary,2,1_3,1.3 Capital market statistics,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/financial/capital-market-statistics,end_of_month,金融统计数字撮要,1.3 资本市场统计数字
Market Data & Statistics Monthly Bulletin,Financial statistics summary,3,1_4,1.4 Economic statistics,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/financial/economic-statistics,end_of_month,金融统计数字撮要,1.4 经济数据
Market Data & Statistics Monthly Bulletin,Money,4,2_1,2.1 Currency in circulation,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/money/currency,end_of_month,货币,2.1 流通货币
Market Data & Statistics Monthly Bulletin,Money,5,2_2_1,2.2.1 Money supply – Adjusted for foreign currency swap deposits,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/money/supply-adjusted,end_of_month,货币,2.2.1 货币供应-就外币掉期存款作出调整
Market Data & Statistics Monthly Bulletin,Money,6,2_2_2,2.2.2 Money supply – Unadjusted for foreign currency swap deposits ,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/money/supply-unadjusted-fc,end_of_month,货币,2.2.2 货币供应-未就外币掉期存款作出调整
Market Data & Statistics Monthly Bulletin,Money,7,2_3_1,2.3.1 Components of money supply – Hong Kong dollar (Adjusted to include foreign currency swap deposits),https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/money/supply-components-hkd,end_of_month,货币,2.3.1 货币供应量的组成项目-港元(已包括外币掉期存款)
Market Data & Statistics Monthly Bulletin,Money,8,2_3_2,2.3.2 Components of money supply – Foreign currency (Adjusted to exclude foreign currency swap deposits),https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/money/supply-components-fc,end_of_month,货币,2.3.2 货币供应量的组成项目-外币(已扣除外币掉期存款)
Market Data & Statistics Monthly Bulletin,Money,9,2_3_3,2.3.3 Components of money supply – All currencies,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/money/supply-components-all,end_of_month,货币,2.3.3 货币供应量的组成项目-所有货币
Market Data & Statistics Monthly Bulletin,Money,10,2_4,2.4 Components of seasonally adjusted Hong Kong dollar M1,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/money/components-seasonally-adjusted-hkd,end_of_month,货币,2.4 经季节性调整的港元货币供应量M1及其组成项目
Market Data & Statistics Monthly Bulletin,Banking,11,3_1,3.1 Number of authorized institutions and local representative offices,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/banking/number-of-ais-lros,end_of_month,银行体系,3.1 认可机构及本港代表办事处数目
Market Data & Statistics Monthly Bulletin,Banking,12,3_2,3.2 Customer deposits by currency,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/banking/customer-deposits-by-currency,end_of_month,银行体系,3.2 客户存款(按货币划分)
Market Data & Statistics Monthly Bulletin,Banking,13,3_3_1,3.3.1 Customer deposits by type – Hong Kong dollar and foreign currency deposits,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/banking/customer-deposits-by-type-hkd-fc,end_of_month,银行体系,3.3.1 客户存款(按类别划分)-港元及外币存款
Market Data & Statistics Monthly Bulletin,Banking,14,3_3_2,3.3.2 Customer deposits by type – Renminbi deposits,https://api.hkma.gov.hk/public/market-data-and-statistics/monthly-statistical-bulletin/banking/customer-deposits-by-type-cny,end_of_month,银行体系,3.3.2 客户存款(按类别划分)-人民币存款
